sheetType	Underlying description	Und. Price	Underlying currency	Trade	Trade time	Settle	Price (Total)	Price (Share)	Price (%)	Currency	Delta (%)	Gamma (%)	Vega	Theta	Rho	Time Value	Gearing	Break-Even (%)	Strategy	Exercise	Call/Put	Direction	Strike	Strike	Shares	Expiry	Time to Expiry	Model	Vol	Forward	USD||Rate	Dividend Yield	Discounted Div Flow	Borrow Cost	
WP	S&P 500 INDEX	1409.3	USD	12/08/2006	16:15:00	12/08/2006	-7.14	-7.1363	-0.5064	USD	48.07	-29.8906	-0.78	0.49	0	-7.14	-197.48	-0.51	American Vanilla	American	Put	Sell	1409.3	ATM	1	12/15/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 9.800	1409.59	5.3556	1.2467	0.34	0	
WC	S&P 500 INDEX	1426.88	USD	12/15/2006	16:15:00	12/15/2006	-7.38	-7.3789	-0.5171	USD	-52.01	-32.4532	-0.79	0.56	0	-7.38	-193.37	0.52	American Vanilla	American	Call	Sell	1426.88	ATM	1	12/22/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 8.861	1426.88	5.365	2.3103	0.63	0	
WP	S&P 500 INDEX	1426.88	USD	12/15/2006	16:15:00	12/15/2006	-6.6	-6.5997	-0.4625	USD	48.35	-32.867	-0.79	0.46	0	-6.6	-216.2	-0.46	American Vanilla	American	Put	Sell	1426.88	ATM	1	12/22/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 8.861	1426.88	5.365	2.3103	0.63	0	
WC	S&P 500 INDEX	1411.1	USD	12/22/2006	16:15:00	12/22/2006	-7.74	-7.7431	-0.5487	USD	-52.46	-30.9804	-0.78	0.59	0	-7.74	-182.24	0.55	American Vanilla	American	Call	Sell	1411.1	ATM	1	12/29/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 9.278	1411.14	5.3629	1.399	0.38	0	
WP	S&P 500 INDEX	1411.1	USD	12/22/2006	16:15:00	12/22/2006	-6.76	-6.7594	-0.479	USD	48.07	-31.5593	-0.78	0.46	0	-6.76	-208.76	-0.48	American Vanilla	American	Put	Sell	1411.1	ATM	1	12/29/2006 - 16:15	7 - 00:00	BS - continuous	Bid - 9.278	1411.14	5.3629	1.399	0.38	0	
WC	S&P 500 INDEX	1417.8	USD	12/29/2006	16:15:00	12/29/2006	-6.98	-6.9798	-0.4923	USD	-53	-35.1141	-0.78	0.54	0	-6.98	-203.13	0.49	American Vanilla	American	Call	Sell	1417.8	ATM	1	01/05/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 8.179	1417.95	5.36	0.9833	0.27	0	
WP	S&P 500 INDEX	1417.8	USD	12/29/2006	16:15:00	12/29/2006	-5.89	-5.8851	-0.4151	USD	47.72	-36.0135	-0.78	0.4	0	-5.89	-240.91	-0.42	American Vanilla	American	Put	Sell	1417.8	ATM	1	01/05/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 8.179	1417.95	5.36	0.9833	0.27	0	
WC	S&P 500 INDEX	1409.82	USD	01/05/2007	16:15:00	01/05/2007	-7.83	-7.8302	-0.5554	USD	-51.9	-30.1034	-0.78	0.59	0	-7.83	-180.05	0.56	American Vanilla	American	Call	Sell	1409.82	ATM	1	01/12/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 9.554	1409.82	5.36	2.3027	0.62	0	
WP	S&P 500 INDEX	1409.82	USD	01/05/2007	16:15:00	01/05/2007	-7.06	-7.0616	-0.5009	USD	48.43	-30.4599	-0.78	0.49	0	-7.06	-199.64	-0.5	American Vanilla	American	Put	Sell	1409.82	ATM	1	01/12/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 9.554	1409.82	5.36	2.3027	0.62	0	
WC	S&P 500 INDEX	1430.59	USD	01/12/2007	16:15:00	01/12/2007	-6	-5.9988	-0.4193	USD	-53.8	-42.2135	-0.79	0.47	0	-6	-238.48	0.42	American Vanilla	American	Call	Sell	1430.59	ATM	1	01/19/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 6.792	1430.83	5.3592	0.6526	0.18	0	
WP	S&P 500 INDEX	1430.59	USD	01/12/2007	16:15:00	01/12/2007	-4.81	-4.8052	-0.3359	USD	47.21	-43.7643	-0.79	0.32	0	-4.81	-297.72	-0.34	American Vanilla	American	Put	Sell	1430.59	ATM	1	01/19/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 6.792	1430.83	5.3592	0.6526	0.18	0	
WC	S&P 500 INDEX	1430.36	USD	01/19/2007	16:15:00	01/19/2007	-7.55	-7.5464	-0.5276	USD	-53.34	-33.0627	-0.79	0.59	0	-7.55	-189.54	0.53	American Vanilla	American	Call	Sell	1430.36	ATM	1	01/26/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 8.682	1430.91	5.36	0.2926	0.08	0	
WP	S&P 500 INDEX	1430.36	USD	01/19/2007	16:15:00	01/19/2007	-6.26	-6.2563	-0.4374	USD	47.53	-34.0847	-0.79	0.42	0	-6.26	-228.63	-0.44	American Vanilla	American	Put	Sell	1430.36	ATM	1	01/26/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 8.682	1430.91	5.36	0.2926	0.08	0	
WC	S&P 500 INDEX	1422.42	USD	01/26/2007	16:15:00	01/26/2007	-7.43	-7.4348	-0.5227	USD	-51.84	-31.9441	-0.78	0.56	0	-7.43	-191.32	0.52	American Vanilla	American	Call	Sell	1422.42	ATM	1	02/02/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 9.004	1422.36	5.36	2.5389	0.69	0	
WP	S&P 500 INDEX	1422.42	USD	01/26/2007	16:15:00	01/26/2007	-6.72	-6.7178	-0.4723	USD	48.11	-31.9441	-0.78	0.45	0	-6.72	-211.74	-0.47	American Vanilla	American	Put	Sell	1422.42	ATM	1	02/02/2007 - 16:15	7 - 00:00	BS - continuous	Bid - 9.004	1422.36	5.36	2.5389	0.69	0	
